symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,bear,BTC/USD,ok,473,24,0.06555339220953453,0.875,3.333465979404284,0.0008577116023378295,True,0.003118249754296129,0.0624351424552384,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.06573770366356464,-0.00018431145403011162,114,rolling,4,short,rejected,late_emerging_valid_supported,80,False,32,True,0.0665938368079037,0.0523292360562392,cross_ETH/USD_state_slope=flat + state_ext=stretched_up,0.0062407425567405,0.0037962532300994,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,134,17,True,False,SUSHI/USD|1d|cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up|rolling,False,research_only,False,False,0.024330017362725494,0.04122337484680903,regime_switching_research_only
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,bear,BTC/USD,ok,473,18,0.061181870942499335,0.7222222222222222,2.8746028876958474,0.004045359426254613,True,-0.009748508536942976,0.07093037947944231,cross_BTC/USD_state_slope=uptrend,0.03945492820717348,0.021726942735325855,20,rolling,4,short,rejected,late_emerging_regime_switching,117,False,66,True,0.0510470158878504,0.0456312188080323,state_slope=flat,0.0142832087384555,7.331309675517872e-05,2,1001,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,134,21,True,False,AAVE/USD|1d|cross_BTC/USD_state_slope=uptrend + state_slope=flat|rolling,False,research_only,False,False,0.018672945466627233,0.0425089254758721,bear_regime_candidate
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,bear,BTC/USD,ok,199,17,0.04167496353558097,0.9411764705882353,6.9648446719388115,3.2875924205200135e-12,True,0.004424532110168153,0.03725043142541282,cross_BTC/USD_state_vol=mid_vol,0.012271080728347495,0.029403882807233474,48,rolling,4,short,rejected,late_emerging_recent_only,22,False,25,True,0.0345171381588781,0.0195736719610695,cross_BTC/USD_state_vol=mid_vol,0.0141954295890133,5.953971083050291e-06,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,134,4,True,True,XRP/USD|1d|cross_BTC/USD_state_vol=mid_vol + state_ext=neutral|rolling,False,research_only,False,False,0.031831679128914915,0.009843284406666056,bear_regime_candidate
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,bear,BTC/USD,ok,199,16,0.03891688492666992,0.875,5.038800497156146,4.6845847267995566e-07,True,0.004424532110168153,0.034492352816501766,state_vol=mid_vol,0.015918718732157056,0.022998166194512865,40,rolling,4,short,rejected,late_emerging_valid_supported,30,False,22,True,0.0559837680298311,0.0410403018320225,state_vol=mid_vol,0.0260292361341151,1.1102230246251564e-14,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,134,8,True,True,XRP/USD|1d|state_ext=neutral + state_vol=mid_vol|rolling,False,research_only,False,False,0.03447388478048821,0.004443000146181708,bear_regime_candidate
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,473,12,0.1268243363772399,0.8333333333333334,3.8296879294823536,0.0001283058667125303,False,0.003118249754296129,0.12370608662294376,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.10015054714301547,0.02667378923422442,5,rolling,4,short,survived,clean_survivor_wf_mixed,50,True,20,True,0.0921425437417888,0.0778779429901242,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.0288767484642889,0.0012756794763533,1,10,0.25,6,8,7,7,17.0,survived,survived,survived,rejected,rejected,survived,survived,survived,134,14,True,True,SUSHI/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.0653445267769352,0.06147980960030469,unsupported
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,473,8,0.12337428693854599,0.875,3.157043844165344,0.001593773805510068,False,-0.009748508536942976,0.13312279547548897,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.07652978091345869,0.0468445060250873,159,rolling,4,short,rejected,late_emerging_valid_supported,30,False,16,True,0.0530178735385685,0.0476020764587504,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.0047840276045356,0.0049972381196665,0,0,0.0,0,8,6,6,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,134,19,True,False,AAVE/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.02306091496391026,0.10031337197463573,unsupported
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,bear,BTC/USD,ok,473,2,0.11119018819040724,1.0,5.850925564565224,4.888449645079618e-09,False,-0.004389115632788922,0.11557930382319616,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.07935960520957733,0.03183058298082991,8,rolling,4,short,survived,clean_survivor_wf_failed,21,True,16,True,0.0937569818910969,0.0871952271485527,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.0338713966104328,0.0016770392341687,0,0,0.0,6,8,8,7,16.75,survived,survived,survived,rejected,rejected,survived,survived,survived,134,6,True,True,UNI/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down|rolling,False,research_only,False,False,0.06977779628883064,0.0414123919015766,unsupported
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,473,9,0.10855282901580411,1.0,5.641576102519299,1.68500531305682e-08,False,-0.001135666617386732,0.10968849563319084,cross_BTC/USD_state_slope=uptrend,0.039142114112883084,0.06941071490292103,34,rolling,4,short,rejected,late_emerging_valid_supported,53,False,22,True,0.0547620278179017,0.0500212807963844,cross_BTC/USD_state_slope=uptrend,0.0424869312279638,1.0724754417879013e-13,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,134,7,True,True,LTC/USD|1d|cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down|rolling,False,research_only,False,False,0.027394878563273318,0.0811579504525308,unsupported
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,bear,BTC/USD,ok,473,5,0.10160252090359682,1.0,15.088874934170246,0.0,False,0.003118249754296129,0.0984842711493007,cross_BTC/USD_state_slope=uptrend,0.06489679725379938,0.03670572364979745,30,rolling,4,short,rejected,late_emerging_valid_supported,12,False,17,True,0.1204849185839012,0.1062203178322367,cross_BTC/USD_state_slope=uptrend,0.102593990494187,4.405062308476815e-06,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,provisional,provisional,rejected,rejected,rejected,134,1,True,True,SUSHI/USD|1d|cross_BTC/USD_state_slope=uptrend + state_slope=downtrend|rolling,False,research_only,False,False,0.0725520551610025,0.02905046574259433,unsupported
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,bear,BTC/USD,ok,215,11,0.07999029612138353,0.9090909090909091,4.897485734940588,9.707067869513253e-07,False,0.011536636635941155,0.06845365948544238,cross_ETH/USD_state_slope=uptrend,0.05922289834652803,0.0207673977748555,2,rolling,4,short,survived,clean_survivor_wf_mixed,48,True,41,True,0.0525514896205515,0.0330283495453144,cross_ETH/USD_state_slope=uptrend,0.0041107626197814,0.0016811650635575,2,1001,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,134,10,True,True,DOT/USD|1d|cross_ETH/USD_state_slope=uptrend + state_slope=flat|rolling,False,research_only,False,False,0.04440372590257602,0.03558657021880751,unsupported
